change_dir;change_followerGap;change_followerSecureGap;change_from;change_id;change_leaderGap;change_leaderSecureGap;change_origLeaderGap;change_origLeaderSecureGap;change_pos;change_reason;change_speed;change_time;change_to;change_type
-1;63.02;27.01;gneE0_2;72;38.29;18.38;91.38;13.87;1276.57;keepRight;22.51;136.00;gneE0_1;DEFAULT_VEHTYPE
-1;138.56;7.26;gneE0_3;99;127.06;0.00;238.14;26.41;828.57;keepRight;26.86;136.00;gneE0_2;DEFAULT_VEHTYPE
-1;10.06;6.72;gneE0_4;127;235.76;16.59;113.42;26.79;176.85;keepRight;24.04;141.00;gneE0_3;DEFAULT_VEHTYPE
-1;113.27;26.18;gneE0_4;123;121.26;13.38;153.23;16.84;342.40;keepRight;23.32;143.00;gneE0_3;DEFAULT_VEHTYPE
-1;61.30;31.49;gneE0_3;78;35.75;10.75;70.11;13.24;1431.80;keepRight;23.36;145.00;gneE0_2;DEFAULT_VEHTYPE
-1;190.95;0.00;gneE0_3;129;50.30;0.00;20.89;6.11;245.34;keepRight;20.54;145.00;gneE0_2;DEFAULT_VEHTYPE
-1;97.86;0.00;gneE0_1;98;98.13;29.49;214.49;29.97;1029.17;keepRight;26.41;146.00;gneE0_0;DEFAULT_VEHTYPE
-1;28.18;25.35;gneE0_4;117;218.28;28.79;212.48;27.87;576.80;keepRight;25.77;146.00;gneE0_3;DEFAULT_VEHTYPE
-1;173.08;0.00;gneE0_2;99;152.57;25.00;159.37;23.76;1195.33;keepRight;25.72;150.00;gneE0_1;DEFAULT_VEHTYPE
-1;34.74;11.66;gneE0_3;127;38.34;13.38;112.97;20.75;412.71;keepRight;23.21;151.00;gneE0_2;DEFAULT_VEHTYPE
-1;29.76;26.29;gneE0_2;129;158.65;13.91;37.22;10.11;394.49;keepRight;21.52;152.00;gneE0_1;DEFAULT_VEHTYPE
-1;77.01;38.94;gneE0_1;137;57.11;17.41;90.02;19.30;331.01;keepRight;23.24;157.00;gneE0_0;DEFAULT_VEHTYPE
-1;28.64;0.00;gneE0_4;149;147.88;0.00;279.93;0.00;63.41;keepRight;13.92;157.00;gneE0_3;DEFAULT_VEHTYPE
-1;36.25;26.18;gneE0_1;129;81.52;17.36;171.08;11.73;544.88;keepRight;20.82;159.00;gneE0_0;DEFAULT_VEHTYPE
-1;13.51;8.36;gneE0_2;100;215.39;13.34;381.36;9.38;1264.51;keepRight;23.83;161.00;gneE0_1;DEFAULT_VEHTYPE
-1;58.15;27.91;gneE0_3;102;378.44;13.45;450.67;15.86;1293.59;keepRight;24.04;162.00;gneE0_2;DEFAULT_VEHTYPE
-1;82.08;37.08;gneE0_2;127;112.07;25.27;43.12;23.76;674.34;keepRight;23.97;162.00;gneE0_1;DEFAULT_VEHTYPE
-1;61.02;36.21;gneE0_1;143;55.87;20.21;92.26;23.40;342.51;keepRight;24.36;163.00;gneE0_0;DEFAULT_VEHTYPE
-1;28.02;20.92;gneE0_4;104;23.97;7.08;485.28;5.66;1284.06;keepRight;25.46;164.00;gneE0_3;DEFAULT_VEHTYPE
-1;155.50;0.00;gneE0_3;149;82.21;0.00;203.79;0.00;204.73;keepRight;21.14;164.00;gneE0_2;DEFAULT_VEHTYPE
-1;25.26;19.83;gneE0_1;72;29.09;18.74;None;None;1955.32;keepRight;22.79;166.00;gneE0_0;DEFAULT_VEHTYPE
-1;50.68;7.57;gneE0_1;100;170.63;9.62;241.27;11.13;1498.53;keepRight;23.44;171.00;gneE0_0;DEFAULT_VEHTYPE
-1;54.81;8.56;gneE0_2;102;233.77;14.06;397.91;19.90;1531.85;keepRight;23.86;172.00;gneE0_1;DEFAULT_VEHTYPE
-1;51.94;17.91;gneE0_4;135;106.72;31.98;109.05;23.82;768.03;keepRight;27.53;172.00;gneE0_3;DEFAULT_VEHTYPE
-1;29.40;21.09;gneE0_2;138;98.29;24.10;259.63;37.76;697.25;keepRight;25.64;172.00;gneE0_1;DEFAULT_VEHTYPE
-1;28.29;22.44;gneE0_2;149;68.42;0.00;118.80;3.76;377.52;keepRight;21.92;172.00;gneE0_1;DEFAULT_VEHTYPE
-1;108.41;24.37;gneE0_3;139;242.91;40.56;54.11;13.98;737.22;keepRight;26.14;173.00;gneE0_2;DEFAULT_VEHTYPE
-1;31.09;27.46;gneE0_1;152;71.86;10.90;26.87;21.92;497.05;keepRight;21.89;179.00;gneE0_0;DEFAULT_VEHTYPE
-1;95.79;0.00;gneE0_1;168;83.80;0.00;74.44;0.00;161.36;keepRight;20.77;180.00;gneE0_0;DEFAULT_VEHTYPE
-1;25.12;20.92;gneE0_1;149;46.15;7.65;120.67;0.00;571.71;keepRight;21.59;181.00;gneE0_0;DEFAULT_VEHTYPE
-1;119.48;1.75;gneE0_3;105;None;None;None;None;1929.76;keepRight;29.71;185.00;gneE0_2;DEFAULT_VEHTYPE
-1;109.91;0.00;gneE0_1;165;31.73;0.39;124.37;7.47;396.95;keepRight;26.16;186.00;gneE0_0;DEFAULT_VEHTYPE
-1;306.72;23.26;gneE0_2;161;63.23;0.00;140.49;0.00;487.45;keepRight;24.65;187.00;gneE0_1;DEFAULT_VEHTYPE
-1;75.96;44.82;gneE0_3;158;111.54;0.00;181.01;3.42;546.21;keepRight;24.10;188.00;gneE0_2;DEFAULT_VEHTYPE
-1;96.62;14.85;gneE0_4;166;313.75;7.24;103.02;27.19;413.46;keepRight;24.74;188.00;gneE0_3;DEFAULT_VEHTYPE
-1;138.56;31.27;gneE0_4;159;173.18;1.89;209.73;7.46;582.30;keepRight;24.07;189.00;gneE0_3;DEFAULT_VEHTYPE
-1;29.40;24.95;gneE0_2;147;36.97;18.59;96.03;24.70;970.30;keepRight;25.99;190.00;gneE0_1;DEFAULT_VEHTYPE
-1;128.39;38.90;gneE0_3;169;53.44;7.95;99.99;17.57;358.77;keepRight;23.78;190.00;gneE0_2;DEFAULT_VEHTYPE
-1;124.58;43.88;gneE0_3;151;209.15;32.89;287.42;23.18;910.32;keepRight;27.56;192.00;gneE0_2;DEFAULT_VEHTYPE
-1;141.94;48.72;gneE0_4;173;75.21;0.00;112.41;0.00;336.75;keepRight;22.41;194.00;gneE0_3;DEFAULT_VEHTYPE
-1;50.33;39.49;gneE0_3;154;59.62;31.79;355.79;24.27;954.17;keepRight;27.76;196.00;gneE0_2;DEFAULT_VEHTYPE
-1;19.23;15.33;gneE0_3;117;None;None;None;None;1888.86;keepRight;25.26;198.00;gneE0_2;DEFAULT_VEHTYPE
-1;40.52;0.00;gneE0_3;187;207.82;16.72;65.34;5.08;137.26;keepRight;23.15;198.00;gneE0_2;DEFAULT_VEHTYPE
-1;90.88;8.42;gneE0_1;122;67.04;34.73;222.38;26.01;1676.15;keepRight;23.84;200.00;gneE0_0;DEFAULT_VEHTYPE
-1;109.53;29.08;gneE0_2;120;204.68;19.64;213.53;15.46;1717.36;keepRight;22.86;201.00;gneE0_1;DEFAULT_VEHTYPE
-1;34.72;28.64;gneE0_2;169;210.01;18.93;92.33;11.06;660.17;keepRight;23.48;203.00;gneE0_1;DEFAULT_VEHTYPE
-1;36.37;30.56;gneE0_4;181;51.37;10.86;126.78;0.00;410.18;keepRight;24.76;204.00;gneE0_3;DEFAULT_VEHTYPE
-1;22.37;19.58;gneE0_3;173;215.18;10.58;140.92;0.00;587.82;keepRight;22.53;205.00;gneE0_2;DEFAULT_VEHTYPE
-1;20.11;17.12;gneE0_2;192;186.77;5.72;80.25;0.00;181.82;keepRight;22.71;205.00;gneE0_1;DEFAULT_VEHTYPE
-1;281.18;0.00;gneE0_4;153;327.58;26.99;554.19;34.68;1293.52;keepRight;28.22;207.00;gneE0_3;DEFAULT_VEHTYPE
-1;81.27;28.79;gneE0_3;185;81.39;1.30;198.68;11.02;291.49;keepRight;22.81;209.00;gneE0_2;DEFAULT_VEHTYPE
-1;26.16;23.50;gneE0_3;123;None;None;None;None;1923.46;keepRight;23.63;210.00;gneE0_2;DEFAULT_VEHTYPE
-1;266.73;0.00;gneE0_4;189;173.65;15.28;371.31;0.00;340.20;keepRight;22.23;210.00;gneE0_3;DEFAULT_VEHTYPE
-1;57.09;8.14;gneE0_1;169;162.47;17.63;219.74;16.25;868.51;keepRight;23.36;212.00;gneE0_0;DEFAULT_VEHTYPE
-1;61.46;0.00;gneE0_4;162;238.70;35.90;None;None;1214.89;keepRight;28.27;213.00;gneE0_3;DEFAULT_VEHTYPE
-1;31.48;6.67;gneE0_1;127;None;None;None;None;1908.05;keepRight;24.21;214.00;gneE0_0;DEFAULT_VEHTYPE
-1;53.29;18.21;gneE0_2;173;92.28;0.00;238.65;12.20;819.01;keepRight;23.31;215.00;gneE0_1;DEFAULT_VEHTYPE
-1;31.61;24.80;gneE0_2;198;48.38;18.89;82.02;23.33;304.93;keepRight;23.37;217.00;gneE0_1;DEFAULT_VEHTYPE
-1;89.92;18.99;gneE0_4;179;156.18;29.84;192.92;32.32;977.09;keepRight;28.89;219.00;gneE0_3;DEFAULT_VEHTYPE
-1;21.75;18.58;gneE0_3;189;105.03;0.00;191.48;16.76;543.56;keepRight;23.09;219.00;gneE0_2;DEFAULT_VEHTYPE
-1;30.55;0.00;gneE0_1;211;120.43;0.00;73.48;0.00;92.56;keepRight;17.76;220.00;gneE0_0;DEFAULT_VEHTYPE
-1;65.40;29.87;gneE0_3;181;74.91;12.69;114.48;7.23;873.57;keepRight;24.06;223.00;gneE0_2;DEFAULT_VEHTYPE
-1;59.88;23.66;gneE0_1;192;100.10;0.00;250.72;13.72;621.49;keepRight;22.30;224.00;gneE0_0;DEFAULT_VEHTYPE
-1;32.57;24.39;gneE0_2;185;247.36;17.07;25.72;27.61;649.10;keepRight;23.06;225.00;gneE0_1;DEFAULT_VEHTYPE
-1;103.24;15.24;gneE0_4;197;356.24;23.50;100.65;33.26;532.80;keepRight;27.02;225.00;gneE0_3;DEFAULT_VEHTYPE
-1;24.85;2.25;gneE0_2;215;187.85;0.00;105.50;0.00;100.89;keepRight;17.97;225.00;gneE0_1;DEFAULT_VEHTYPE
-1;60.61;30.70;gneE0_1;198;88.81;23.13;56.29;20.07;532.52;keepRight;23.16;227.00;gneE0_0;DEFAULT_VEHTYPE
-1;31.78;26.96;gneE0_3;202;36.24;18.87;108.01;16.74;474.25;keepRight;25.11;227.00;gneE0_2;DEFAULT_VEHTYPE
-1;26.13;21.87;gneE0_2;189;221.55;15.54;144.18;0.00;747.85;keepRight;22.70;228.00;gneE0_1;DEFAULT_VEHTYPE
-1;94.46;34.02;gneE0_4;195;260.27;9.63;714.73;8.13;740.70;keepRight;25.41;229.00;gneE0_3;DEFAULT_VEHTYPE
-1;116.59;0.00;gneE0_1;206;64.43;22.24;102.96;31.14;391.31;keepRight;24.38;229.00;gneE0_0;DEFAULT_VEHTYPE
-1;146.97;0.00;gneE0_3;162;157.39;29.87;232.18;30.65;1690.96;keepRight;28.11;230.00;gneE0_2;DEFAULT_VEHTYPE
-1;69.56;24.67;gneE0_2;156;None;None;35.54;23.81;1880.43;keepRight;27.08;231.00;gneE0_1;DEFAULT_VEHTYPE
-1;114.67;15.98;gneE0_3;214;87.67;16.87;111.53;14.53;271.67;keepRight;23.67;231.00;gneE0_2;DEFAULT_VEHTYPE
-1;13.37;3.15;gneE0_2;175;176.52;13.63;262.21;34.84;1225.90;keepRight;26.37;232.00;gneE0_1;DEFAULT_VEHTYPE
